full_path,camera,date_dir,image,brightness,datetime
ba_1_organized/Aug_26/26_08_16_37.jpg,ba_1,Aug_26,26_08_16_37.jpg,8.686000434027777,2025-08-26 16:37:00
ba_1_organized/Aug_26/26_08_16_40.jpg,ba_1,Aug_26,26_08_16_40.jpg,7.8741666666666665,2025-08-26 16:40:00
ba_1_organized/Aug_26/26_08_16_45.jpg,ba_1,Aug_26,26_08_16_45.jpg,7.762747395833333,2025-08-26 16:45:00
ba_1_organized/Aug_26/26_08_16_50.jpg,ba_1,Aug_26,26_08_16_50.jpg,7.157192925347222,2025-08-26 16:50:00
ba_1_organized/Aug_26/26_08_16_55.jpg,ba_1,Aug_26,26_08_16_55.jpg,6.770322265625,2025-08-26 16:55:00
ba_1_organized/Aug_26/26_08_17_00.jpg,ba_1,Aug_26,26_08_17_00.jpg,6.666366102430556,2025-08-26 17:00:00
ba_1_organized/Aug_26/26_08_17_05.jpg,ba_1,Aug_26,26_08_17_05.jpg,6.675116102430556,2025-08-26 17:05:00
ba_1_organized/Aug_26/26_08_17_10.jpg,ba_1,Aug_26,26_08_17_10.jpg,6.479166666666667,2025-08-26 17:10:00
ba_1_organized/Aug_26/26_08_17_15.jpg,ba_1,Aug_26,26_08_17_15.jpg,6.626600477430555,2025-08-26 17:15:00
ba_1_organized/Aug_26/26_08_17_20.jpg,ba_1,Aug_26,26_08_17_20.jpg,5.649777560763889,2025-08-26 17:20:00
ba_1_organized/Aug_26/26_08_17_25.jpg,ba_1,Aug_26,26_08_17_25.jpg,5.835992838541666,2025-08-26 17:25:00
ba_1_organized/Aug_26/26_08_17_30.jpg,ba_1,Aug_26,26_08_17_30.jpg,6.293784722222222,2025-08-26 17:30:00
ba_1_organized/Aug_26/26_08_17_35.jpg,ba_1,Aug_26,26_08_17_35.jpg,6.024461805555555,2025-08-26 17:35:00
ba_1_organized/Aug_26/26_08_17_40.jpg,ba_1,Aug_26,26_08_17_40.jpg,5.759020182291667,2025-08-26 17:40:00
ba_1_organized/Aug_26/26_08_17_45.jpg,ba_1,Aug_26,26_08_17_45.jpg,5.113485243055556,2025-08-26 17:45:00
ba_1_organized/Aug_26/26_08_17_50.jpg,ba_1,Aug_26,26_08_17_50.jpg,5.375697699652778,2025-08-26 17:50:00
ba_1_organized/Aug_26/26_08_17_55.jpg,ba_1,Aug_26,26_08_17_55.jpg,5.426852213541666,2025-08-26 17:55:00
ba_1_organized/Aug_26/26_08_18_00.jpg,ba_1,Aug_26,26_08_18_00.jpg,5.221803385416667,2025-08-26 18:00:00
ba_1_organized/Aug_26/26_08_18_05.jpg,ba_1,Aug_26,26_08_18_05.jpg,5.13005859375,2025-08-26 18:05:00
ba_1_organized/Aug_26/26_08_18_10.jpg,ba_1,Aug_26,26_08_18_10.jpg,4.858433159722222,2025-08-26 18:10:00
ba_1_organized/Aug_26/26_08_18_15.jpg,ba_1,Aug_26,26_08_18_15.jpg,4.735748697916667,2025-08-26 18:15:00
ba_1_organized/Aug_26/26_08_18_20.jpg,ba_1,Aug_26,26_08_18_20.jpg,4.4871245659722225,2025-08-26 18:20:00
ba_1_organized/Aug_26/26_08_18_25.jpg,ba_1,Aug_26,26_08_18_25.jpg,4.517098524305555,2025-08-26 18:25:00
ba_1_organized/Aug_26/26_08_18_30.jpg,ba_1,Aug_26,26_08_18_30.jpg,4.429268663194445,2025-08-26 18:30:00
ba_1_organized/Aug_26/26_08_18_35.jpg,ba_1,Aug_26,26_08_18_35.jpg,4.578944227430555,2025-08-26 18:35:00
ba_1_organized/Aug_26/26_08_18_40.jpg,ba_1,Aug_26,26_08_18_40.jpg,4.398248697916666,2025-08-26 18:40:00
ba_1_organized/Aug_26/26_08_18_45.jpg,ba_1,Aug_26,26_08_18_45.jpg,3.9938530815972224,2025-08-26 18:45:00
ba_1_organized/Aug_26/26_08_18_50.jpg,ba_1,Aug_26,26_08_18_50.jpg,3.6717350260416666,2025-08-26 18:50:00
