datetime,mean,median,std,min,max,sum_of_ndvi,image,camera,date_folder,brightness
2025-08-26 16:37:00,0.2193539440631866,0.0,0.6513165831565857,-0.9999990463256836,0.9999990463256836,108765.8984375,26_08_16_37.jpg,ba_1,Aug_26,8.686000434027777
2025-08-26 16:37:00,0.5495762228965759,0.9999983906745912,0.5444448590278625,-0.9999990463256836,0.9999990463256836,209696.5625,26_08_16_37.jpg,ba_2,Aug_26,33.95261501736111
2025-08-26 16:40:00,0.5372070670127869,0.9999990463256836,0.54935222864151,-0.9999990463256836,0.9999990463256836,205587.40625,26_08_16_40.jpg,ba_2,Aug_26,31.128231336805555
2025-08-26 16:45:00,0.2534115612506866,0.0,0.6150268316268921,-0.9999990463256836,0.9999990463256836,109426.8984375,26_08_16_45.jpg,ba_1,Aug_26,7.762747395833333
2025-08-26 16:45:00,0.5195598602294922,0.9999977946281432,0.5477684736251831,-0.9999990463256836,0.9999990463256836,198671.0625,26_08_16_45.jpg,ba_2,Aug_26,33.12003363715278
2025-08-26 16:50:00,0.1960436552762985,0.0,0.6205111145973206,-0.9999990463256836,0.9999990463256836,97416.90625,26_08_16_50.jpg,ba_1,Aug_26,7.157192925347222
2025-08-26 16:50:00,0.559451699256897,0.9999990463256836,0.5506293773651123,-0.9999990463256836,0.9999990463256836,214379.125,26_08_16_50.jpg,ba_2,Aug_26,30.66056857638889
2025-08-26 16:55:00,0.0979988649487495,0.0,0.6379132270812988,-0.9999990463256836,0.9999990463256836,95998.8671875,26_08_16_55.jpg,ba_2,Aug_26,29.099112413194444
2025-08-26 16:55:00,0.1607268750667572,0.0,0.6196795701980591,-0.9999990463256836,0.9999990463256836,89719.9140625,26_08_16_55.jpg,ba_1,Aug_26,6.770322265625
2025-08-26 17:00:00,0.4243039488792419,0.9999990463256836,0.6301773190498352,-0.9999990463256836,0.9999990463256836,157477.875,26_08_17_00.jpg,ba_1,Aug_26,6.666366102430556
2025-08-26 17:00:00,0.555488109588623,0.9999990463256836,0.5597715973854065,-0.9999990463256836,0.9999990463256836,214725.5,26_08_17_00.jpg,ba_2,Aug_26,29.39467664930556
2025-08-26 17:05:00,0.1179187297821044,0.0,0.6005752682685852,-0.9999990463256836,0.9999990463256836,77446.9296875,26_08_17_05.jpg,ba_1,Aug_26,6.675116102430556
2025-08-26 17:05:00,0.4985586404800415,0.9999990463256836,0.5706110596656799,-0.9999990463256836,0.9999990463256836,195587.71875,26_08_17_05.jpg,ba_2,Aug_26,30.806968315972224
2025-08-26 17:10:00,0.4781093001365661,0.9999988079071044,0.5648337006568909,-0.9999990463256836,0.9999990463256836,186979.8125,26_08_17_10.jpg,ba_2,Aug_26,31.76958767361111
2025-08-26 17:10:00,0.4506922364234924,0.9999990463256836,0.6004889607429504,-0.9999990463256836,0.9999990463256836,159512.875,26_08_17_10.jpg,ba_1,Aug_26,6.479166666666667
2025-08-26 17:15:00,0.4599256813526153,0.0,0.560470700263977,-0.9999990463256836,0.9999990463256836,179659.84375,26_08_17_15.jpg,ba_2,Aug_26,33.11962131076389
2025-08-26 17:15:00,0.4752871096134186,0.9999990463256836,0.6210541129112244,-0.9999990463256836,0.9999990463256836,170911.875,26_08_17_15.jpg,ba_1,Aug_26,6.626600477430555
2025-08-26 17:20:00,0.4009778499603271,0.0,0.5817505717277527,-0.9999990463256836,0.9999990463256836,141553.875,26_08_17_20.jpg,ba_1,Aug_26,5.649777560763889
2025-08-26 17:20:00,0.4842967391014099,0.9999990463256836,0.5728350877761841,-0.9999990463256836,0.9999990463256836,190863.84375,26_08_17_20.jpg,ba_2,Aug_26,28.410753038194443
2025-08-26 17:25:00,0.4687523245811462,0.9999984502792358,0.5708012580871582,-0.9999990463256836,0.9999990463256836,184915.84375,26_08_17_25.jpg,ba_2,Aug_26,30.28812825520833
2025-08-26 17:25:00,0.2612940669059753,0.0,0.6141758561134338,-0.9999990463256836,0.9999990463256836,111139.890625,26_08_17_25.jpg,ba_1,Aug_26,5.835992838541666
2025-08-26 17:30:00,0.4434326887130737,0.0,0.5681432485580444,-0.9999990463256836,0.9999990463256836,175509.84375,26_08_17_30.jpg,ba_2,Aug_26,33.490642361111114
2025-08-26 17:30:00,0.3560265004634857,0.0,0.5938000679016113,-0.9999990463256836,0.9999990463256836,131361.875,26_08_17_30.jpg,ba_1,Aug_26,6.293784722222222
2025-08-26 17:35:00,0.464830994606018,0.9999949932098388,0.5678306221961975,-0.9999990463256836,0.9999990463256836,182869.84375,26_08_17_35.jpg,ba_2,Aug_26,31.639809027777776
2025-08-26 17:35:00,0.2928270101547241,0.0,0.5871405005455017,-0.9999990463256836,0.9999990463256836,113738.890625,26_08_17_35.jpg,ba_1,Aug_26,6.024461805555555
2025-08-26 17:40:00,0.4733632206916809,0.9999990463256836,0.5962311029434204,-0.9999990463256836,0.9999990463256836,165570.875,26_08_17_40.jpg,ba_1,Aug_26,5.759020182291667
2025-08-26 17:40:00,0.4480794966220855,0.0,0.5844457149505615,-0.9999990463256836,0.9999990463256836,180609.84375,26_08_17_40.jpg,ba_2,Aug_26,32.20683919270834
2025-08-26 17:45:00,0.4178754389286041,0.0,0.607548177242279,-0.9999990463256836,0.9999990463256836,176832.625,26_08_17_45.jpg,ba_2,Aug_26,31.668120659722224
2025-08-26 17:50:00,0.3764958381652832,0.0,0.6224414706230164,-0.9999990463256836,0.9999990463256836,166845.625,26_08_17_50.jpg,ba_2,Aug_26,34.39517144097222
