timestamp_utc,temperature_C,cloudiness_%,weather_description,sunrise_utc,sunset_utc
2025-09-06T00:27:01.648831,10.06,0,clear sky,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T00:57:01.827669,9.23,0,clear sky,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T01:27:01.982211,9.14,20,mist,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T01:57:02.174384,9.04,20,fog,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T02:27:02.320002,9.04,0,clear sky,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T02:57:02.506260,8.21,20,fog,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T03:27:02.715510,8.12,20,mist,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T03:57:02.911664,7.19,20,few clouds,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T04:27:03.110376,8.03,20,mist,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T04:57:03.307106,7.19,20,mist,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T05:27:03.498751,7.1,40,fog,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T05:57:03.698726,7.37,40,fog,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T06:27:03.886955,8.3,40,fog,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T06:57:04.066820,9.14,20,few clouds,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T07:27:04.249288,11.36,20,few clouds,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T07:57:04.446324,13.29,0,clear sky,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T08:27:04.631399,14.49,0,clear sky,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T08:57:04.802636,15.55,0,clear sky,2025-09-06T04:47:21,2025-09-06T17:55:51
2025-09-06T09:27:04.978429,16.23,0,clear sky,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T09:57:05.165521,17.76,0,clear sky,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T10:27:05.343531,18.67,0,clear sky,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T10:57:05.528936,19.58,0,clear sky,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T11:27:05.738632,20.49,20,few clouds,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T11:57:05.931347,21.36,20,few clouds,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T12:27:06.109217,21.54,20,few clouds,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T12:57:06.295996,21.48,20,few clouds,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T13:27:06.477974,21.48,0,clear sky,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T13:57:06.658192,22.28,0,clear sky,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T14:27:06.831120,22.1,0,clear sky,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T14:57:07.011878,22.1,0,clear sky,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T15:27:07.199461,21.92,0,clear sky,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T15:57:07.394785,21.02,0,clear sky,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T16:27:07.581752,21.05,0,clear sky,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T16:57:07.774387,20.14,0,clear sky,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T17:27:07.943088,19.99,0,clear sky,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T17:57:08.095976,19.04,0,clear sky,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T18:27:08.279471,17.1,0,clear sky,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T18:57:08.479430,16.12,0,clear sky,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T19:27:08.655309,15.15,0,clear sky,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T19:57:08.833058,14.49,0,clear sky,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T20:27:09.023522,14.32,0,clear sky,2025-09-06T04:47:21,2025-09-06T17:55:50
2025-09-06T20:57:09.193143,14.22,0,clear sky,2025-09-06T04:47:21,2025-09-06T17:55:51
