mean,median,std,min,max,growth_metric,image,camera,date_folder,datetime
0.8905590772628784,0.9999990463256836,0.31218934059143066,0.0,0.9999990463256836,324164.0,26_08_16_37.jpg,ba_2,Aug_26,2025-08-26 16:37:00
0.41623955965042114,0.0,0.4973364472389221,-0.9999954104423523,0.9999990463256836,131599.0,26_08_16_37.jpg,ba_1,Aug_26,2025-08-26 16:37:00
0.8350011110305786,0.9999990463256836,0.3711773753166199,0.0,0.9999990463256836,303941.0,26_08_16_40.jpg,ba_2,Aug_26,2025-08-26 16:40:00
0.347919225692749,0.0,0.5910055041313171,-0.9999913573265076,0.9999990463256836,129489.0,26_08_16_40.jpg,ba_1,Aug_26,2025-08-26 16:40:00
0.8318214416503906,0.9999990463256836,0.3740208148956299,0.0,0.9999990463256836,302784.0,26_08_16_45.jpg,ba_2,Aug_26,2025-08-26 16:45:00
0.1290694773197174,0.0,0.8219127655029297,-0.9999954700469971,0.9999990463256836,144936.0,26_08_16_45.jpg,ba_1,Aug_26,2025-08-26 16:45:00
0.861821711063385,0.9999990463256836,0.3450833261013031,0.0,0.9999990463256836,313704.0,26_08_16_50.jpg,ba_2,Aug_26,2025-08-26 16:50:00
0.006415898445993662,0.0,0.8558881878852844,-0.9999946355819702,0.9999990463256836,126079.0,26_08_16_50.jpg,ba_1,Aug_26,2025-08-26 16:50:00
0.8641934394836426,0.9999990463256836,0.3425804376602173,0.0,0.9999990463256836,314567.0,26_08_16_55.jpg,ba_2,Aug_26,2025-08-26 16:55:00
-0.050507448613643646,0.0,0.8513956665992737,-0.9999939799308777,0.9999990463256836,112758.0,26_08_16_55.jpg,ba_1,Aug_26,2025-08-26 16:55:00
0.8569958209991455,0.9999990463256836,0.3500750958919525,0.0,0.9999990463256836,311947.0,26_08_17_00.jpg,ba_2,Aug_26,2025-08-26 17:00:00
0.3231971859931946,0.8988122940063477,0.8449649810791016,-0.9999907612800598,0.9999990463256836,194514.0,26_08_17_00.jpg,ba_1,Aug_26,2025-08-26 17:00:00
0.8069002628326416,0.9999990463256836,0.3947294354438782,0.0,0.9999990463256836,293712.0,26_08_17_05.jpg,ba_2,Aug_26,2025-08-26 17:05:00
-0.19009263813495636,0.0,0.858376145362854,-0.9999925494194031,0.9999990463256836,98756.0,26_08_17_05.jpg,ba_1,Aug_26,2025-08-26 17:05:00
0.7845928072929382,0.9999990463256836,0.4111038148403168,0.0,0.9999990463256836,285592.0,26_08_17_10.jpg,ba_2,Aug_26,2025-08-26 17:10:00
0.33180132508277893,0.8988990783691406,0.8467865586280823,-0.9999920725822449,0.9999990463256836,199499.0,26_08_17_10.jpg,ba_1,Aug_26,2025-08-26 17:10:00
0.7812303304672241,0.9999990463256836,0.4134112596511841,0.0,0.9999990463256836,284368.0,26_08_17_15.jpg,ba_2,Aug_26,2025-08-26 17:15:00
0.3548993766307831,0.8972210884094238,0.8497524261474609,-0.9999915361404419,0.9999990463256836,207966.0,26_08_17_15.jpg,ba_1,Aug_26,2025-08-26 17:15:00
0.7815050482749939,0.9999990463256836,0.4132241904735565,0.0,0.9999990463256836,284468.0,26_08_17_20.jpg,ba_2,Aug_26,2025-08-26 17:20:00
0.3690584897994995,0.9239525198936462,0.7434601783752441,-0.9999920129776001,0.9999990463256836,178076.0,26_08_17_20.jpg,ba_1,Aug_26,2025-08-26 17:20:00
-0.18481391668319702,-0.999911904335022,0.9527588486671448,-0.9999906420707703,0.9999990463256836,125736.0,26_08_17_25.jpg,ba_1,Aug_26,2025-08-26 17:25:00
0.7792770266532898,0.9999990463256836,0.4147331416606903,0.0,0.9999990463256836,283657.0,26_08_17_25.jpg,ba_2,Aug_26,2025-08-26 17:25:00
0.7753621935844421,0.9999990463256836,0.4173429310321808,0.0,0.9999990463256836,282232.0,26_08_17_30.jpg,ba_2,Aug_26,2025-08-26 17:30:00
0.07698982208967209,0.8627634048461914,0.9342332482337952,-0.9999924898147583,0.9999990463256836,167007.0,26_08_17_30.jpg,ba_1,Aug_26,2025-08-26 17:30:00
0.7796341180801392,0.9999990463256836,0.41449248790740967,0.0,0.9999990463256836,283787.0,26_08_17_35.jpg,ba_2,Aug_26,2025-08-26 17:35:00
-0.13120293617248535,-0.9998258948326111,0.9485400915145874,-0.9999913573265076,0.9999990463256836,135156.0,26_08_17_35.jpg,ba_1,Aug_26,2025-08-26 17:35:00
0.7717715501785278,0.9999990463256836,0.4196898937225342,0.0,0.9999990463256836,280925.0,26_08_17_40.jpg,ba_2,Aug_26,2025-08-26 17:40:00
0.35779526829719543,0.8765971660614014,0.7798773646354675,-0.9999927282333374,0.9999990463256836,196572.0,26_08_17_40.jpg,ba_1,Aug_26,2025-08-26 17:40:00
0.7467294931411743,0.9999989867210388,0.434882789850235,0.0,0.9999990463256836,271810.0,26_08_17_45.jpg,ba_2,Aug_26,2025-08-26 17:45:00
0.08839642256498337,0.7869912385940552,0.8695927262306213,-0.9999927878379822,0.9999990463256836,157256.0,26_08_17_45.jpg,ba_1,Aug_26,2025-08-26 17:45:00
0.724891722202301,0.9999987483024597,0.44656723737716675,0.0,0.9999990463256836,263861.0,26_08_17_50.jpg,ba_2,Aug_26,2025-08-26 17:50:00
0.4810508191585541,0.8394929766654968,0.6804912686347961,-0.9999939203262329,0.9999990463256836,225101.0,26_08_17_50.jpg,ba_1,Aug_26,2025-08-26 17:50:00
0.742639422416687,0.9999990463256836,0.43717870116233826,0.0,0.9999990463256836,270321.0,26_08_17_55.jpg,ba_2,Aug_26,2025-08-26 17:55:00
