filename,mean_ndvi,date,time,datetime
26_08_16_37_ndvi.png,0.5461,2025-08-26,16:37,2025-08-26 16:37
26_08_16_40_ndvi.png,0.0708,2025-08-26,16:40,2025-08-26 16:40
26_08_16_45_ndvi.png,0.1541,2025-08-26,16:45,2025-08-26 16:45
26_08_16_50_ndvi.png,0.1093,2025-08-26,16:50,2025-08-26 16:50
26_08_16_55_ndvi.png,0.0396,2025-08-26,16:55,2025-08-26 16:55
26_08_17_00_ndvi.png,0.1740,2025-08-26,17:00,2025-08-26 17:00
26_08_17_05_ndvi.png,-0.0487,2025-08-26,17:05,2025-08-26 17:05
26_08_17_10_ndvi.png,0.0712,2025-08-26,17:10,2025-08-26 17:10
26_08_17_15_ndvi.png,0.0918,2025-08-26,17:15,2025-08-26 17:15
26_08_17_20_ndvi.png,-0.1650,2025-08-26,17:20,2025-08-26 17:20
26_08_17_25_ndvi.png,-0.1857,2025-08-26,17:25,2025-08-26 17:25
26_08_17_30_ndvi.png,-0.1365,2025-08-26,17:30,2025-08-26 17:30
26_08_17_35_ndvi.png,-0.1430,2025-08-26,17:35,2025-08-26 17:35
26_08_17_40_ndvi.png,0.3140,2025-08-26,17:40,2025-08-26 17:40
26_08_17_45_ndvi.png,0.2588,2025-08-26,17:45,2025-08-26 17:45
26_08_17_50_ndvi.png,0.5801,2025-08-26,17:50,2025-08-26 17:50
26_08_17_55_ndvi.png,0.6695,2025-08-26,17:55,2025-08-26 17:55
26_08_18_05_ndvi.png,0.5756,2025-08-26,18:05,2025-08-26 18:05
26_08_18_10_ndvi.png,0.3084,2025-08-26,18:10,2025-08-26 18:10
26_08_18_15_ndvi.png,0.3245,2025-08-26,18:15,2025-08-26 18:15
26_08_18_20_ndvi.png,0.3555,2025-08-26,18:20,2025-08-26 18:20
26_08_18_25_ndvi.png,0.3799,2025-08-26,18:25,2025-08-26 18:25
26_08_18_30_ndvi.png,0.0746,2025-08-26,18:30,2025-08-26 18:30
26_08_18_35_ndvi.png,0.1517,2025-08-26,18:35,2025-08-26 18:35
26_08_18_40_ndvi.png,-0.0469,2025-08-26,18:40,2025-08-26 18:40
26_08_18_50_ndvi.png,-0.3611,2025-08-26,18:50,2025-08-26 18:50
26_08_18_55_ndvi.png,-0.1597,2025-08-26,18:55,2025-08-26 18:55
26_08_19_00_ndvi.png,-0.1137,2025-08-26,19:00,2025-08-26 19:00
26_08_19_05_ndvi.png,0.0091,2025-08-26,19:05,2025-08-26 19:05
26_08_19_10_ndvi.png,-0.0603,2025-08-26,19:10,2025-08-26 19:10
26_08_19_15_ndvi.png,0.0137,2025-08-26,19:15,2025-08-26 19:15
26_08_19_20_ndvi.png,0.4002,2025-08-26,19:20,2025-08-26 19:20
26_08_19_30_ndvi.png,-0.9024,2025-08-26,19:30,2025-08-26 19:30
